City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Portland,US,45.5234,-122.6762,65.62,77,75,1.99,haze
196,Coihueco,CL,-36.6167,-71.8333,65.14,59,40,3.44,scattered clouds
197,Rocha,UY,-34.4833,-54.3333,63.14,70,94,17.29,overcast clouds
198,Shimoda,JP,34.6667,138.95,65.1,86,100,11.72,light rain
199,Folkestone,GB,51.0833,1.1833,60.53,93,100,3.0,overcast clouds
200,Meulaboh,ID,4.1363,96.1285,76.37,87,85,4.72,overcast clouds
201,Pemba,MZ,-12.974,40.5178,77.7,78,0,6.91,clear sky
202,Paramonga,PE,-10.6667,-77.8333,66.27,73,84,9.57,broken clouds
203,Puerto Carreno,CO,6.189,-67.4859,89.47,55,75,4.0,broken clouds
204,Mount Isa,AU,-20.7333,139.5,78.57,65,50,5.75,light rain
205,Faanui,PF,-16.4833,-151.75,78.8,76,11,18.32,light rain
206,Teguldet,RU,57.3064,88.1667,39.06,93,100,6.8,light rain
207,Pacific Grove,US,36.6177,-121.9166,65.55,79,0,11.01,clear sky
208,Faya,SA,18.3851,42.4509,66.31,43,67,5.41,broken clouds
209,Stavern,NO,59.0,10.0333,45.18,96,100,15.12,overcast clouds
210,Kudahuvadhoo,MV,2.6708,72.8944,81.16,72,89,12.82,overcast clouds
211,Karratha,AU,-20.7377,116.8463,75.85,23,1,11.27,clear sky
212,Olga,RU,43.7444,135.2892,37.65,70,3,9.04,clear sky
213,Grand-Lahou,CI,5.1367,-5.0242,78.21,84,74,6.58,broken clouds
214,Sault Sainte Marie,CA,46.5168,-84.3333,45.16,65,100,14.97,overcast clouds
215,Kollam,IN,8.8833,76.6,76.48,93,100,13.85,light rain
216,Swan River,CA,52.1058,-101.2676,37.44,32,19,3.62,few clouds
217,Vardo,NO,70.3705,31.1107,42.78,87,75,11.5,broken clouds
218,Whitehorse,CA,60.7161,-135.0538,44.31,87,100,8.99,overcast clouds
219,Salumbar,IN,24.1333,74.05,71.94,52,0,3.8,clear sky
220,Acajutla,SV,13.5928,-89.8275,81.27,85,97,10.71,overcast clouds
221,Pisco,PE,-13.7,-76.2167,64.02,82,20,11.5,few clouds
222,Port Blair,IN,11.6667,92.75,80.73,78,93,5.82,overcast clouds
223,Mayo,US,38.8876,-76.5119,72.12,68,100,7.0,overcast clouds
224,Almaznyy,RU,48.0448,40.045,44.33,56,19,3.62,few clouds
225,Turka,UA,49.1541,23.0297,50.79,86,26,4.9,scattered clouds
226,Kampot,KH,10.6167,104.1833,77.05,86,95,5.35,overcast clouds
227,Bratsk,RU,56.1325,101.6142,37.89,71,99,6.17,overcast clouds
228,Tars,TR,36.9188,34.8784,76.87,54,51,3.71,broken clouds
229,Redding,US,40.5865,-122.3917,70.63,62,0,1.99,clear sky
230,Souillac,MU,-20.5167,57.5167,70.59,73,16,10.11,few clouds
231,Marawi,PH,7.9986,124.2928,69.73,94,100,2.53,overcast clouds
232,Neryungri,RU,56.6709,124.6491,18.84,94,92,6.78,overcast clouds
233,Hamirpur,IN,25.95,80.15,77.16,53,0,3.22,clear sky
234,Itarema,BR,-2.9248,-39.9167,84.04,64,92,20.6,overcast clouds
235,Najran,SA,17.4924,44.1277,75.85,19,99,5.86,overcast clouds
236,Kirensk,RU,57.7853,108.1119,27.39,67,83,3.29,broken clouds
237,Ruidoso,US,33.3317,-105.673,51.26,97,100,11.5,overcast clouds
238,Zeya,RU,53.75,127.2667,28.42,75,11,5.21,few clouds
239,Foumbot,CM,5.5079,10.6356,66.36,90,41,0.96,light rain
240,Dunedin,NZ,-45.8742,170.5036,44.8,88,91,1.01,overcast clouds
241,Henties Bay,NA,-22.116,14.2845,58.91,89,7,6.29,clear sky
242,Champerico,GT,14.3,-91.9167,83.7,76,96,10.09,light rain
243,Malgrat De Mar,ES,41.6466,2.7414,73.27,93,61,3.33,broken clouds
244,Antigonish,CA,45.6169,-61.9986,65.14,82,49,5.53,scattered clouds
245,Buchanan,LR,5.8808,-10.0467,78.17,85,73,4.23,moderate rain
246,Ossora,RU,59.2353,163.0719,33.08,95,100,4.21,overcast clouds
247,Mangan,IN,27.5167,88.5333,64.22,51,0,6.4,clear sky
248,Abay,KZ,49.6311,72.8539,37.78,70,84,6.87,broken clouds
249,Hare Bay,CA,48.8499,-54.0148,54.75,96,100,13.58,light rain
250,Waingapu,ID,-9.6567,120.2641,79.68,82,99,6.4,overcast clouds
251,Ilulissat,GL,69.2167,-51.1,46.42,71,100,17.27,light rain
252,Kailua,US,21.4022,-157.7394,80.44,73,40,5.75,scattered clouds
253,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,72,87,29.55,light rain
254,Bonavista,CA,48.6499,-53.1147,53.96,95,100,31.74,light rain
255,Yarada,IN,17.65,83.2667,80.92,89,75,4.61,mist
256,Ustye,RU,59.6304,39.736,47.34,87,93,14.79,light rain
257,Vostok,RU,46.4856,135.8833,28.54,90,82,5.41,broken clouds
258,Mitu,CO,1.1983,-70.1733,90.82,46,97,2.64,light rain
259,Santiago De Chuco,PE,-8.15,-78.1833,57.7,66,100,3.29,light rain
260,Timizart,DZ,36.8,4.2667,76.95,49,15,3.13,few clouds
261,Uinskoye,RU,56.8817,56.5813,41.77,84,62,11.65,broken clouds
262,Wenatchee,US,47.4235,-120.3103,61.18,54,0,3.44,clear sky
263,Kavieng,PG,-2.5744,150.7967,82.06,77,100,12.93,overcast clouds
264,Puebloviejo,CO,10.9938,-74.2844,83.21,77,95,4.65,light rain
265,Vera Cruz,BR,-12.6333,-41.0333,89.17,29,52,6.71,broken clouds
266,Pitanga,BR,-24.7572,-51.7614,76.01,65,37,2.62,scattered clouds
267,Veraval,IN,20.9,70.3667,81.48,63,15,1.68,few clouds
268,Ilongero,TZ,-4.6667,34.8667,74.39,36,71,10.58,broken clouds
269,Nabire,ID,-3.3667,135.4833,75.67,89,83,2.89,broken clouds
270,Bundaberg,AU,-24.85,152.35,64.22,98,93,5.75,overcast clouds
271,Billings,US,45.7833,-108.5007,65.52,43,0,13.8,clear sky
272,Methven,NZ,-43.6333,171.65,40.01,94,34,7.4,scattered clouds
273,Galveston,US,29.3669,-94.9669,73.06,86,100,4.0,overcast clouds
274,Katobu,ID,-4.9408,122.5276,75.78,94,99,3.49,overcast clouds
